ClassTable,nameTextId,descTextId,number,promotion,SMSId,slowWalking,defaultPortraitId,unk0A,baseHP,basePow,baseSkl,baseSpd,baseDef,baseRes,baseCon,baseMov,maxHP,maxPow,maxSkl,maxSpd,maxDef,maxRes,maxCon,classRelativePower,growthHP,growthPow,growthSkl,growthSpd,growthDef,growthRes,growthLck,promotionHP,promotionPow,promotionSkl,promotionSpd,promotionDef,promotionRes,attributes,baseSwordRank,baseLanceRank,baseAxeRank,baseBowRank,baseStaffRank,baseAnimaRank,baseDaggerRank,baseStoneRank,pBattleAnimDef,pMovCostTable,pRainMovCostTable,pSnowMovCostTable,pTerrainAvoidLookup,pTerrainDefenseLookup,pTerrainResistanceLookup,classType
1517,0x9,0x12e9,0x21,0x4,0xdf,0x11,0x90,0x3,0,-32,18,17,33,-23,18,17,50,-128,0,10,-29,46,17,33,-98,18,18,55,49,14,23,-109,2,-42,-112,2,-47,0x1011f723,192,145,132,1,35,158,78,35,0xe9e322,0x90e23334,0x53234e,0xd5444e00,0xdc555e00,0xccde3f00,0xf5040310,856686896
1518,0x3b10,0x390,0xfd,0xf2,0x7e,0xf0,0xf101,0x33,-123,38,16,7,34,107,63,18,123,-33,3,-1,17,28,-65,17,25,98,-109,2,-124,16,15,70,-111,-32,21,78,0,0xf3030026,240,240,240,255,199,0,3,210,0x33fff93,0x3e385701,0x90fa06,0x325e901f,0xabe99b,0xacde0200,0xcdce0000,12279554
1519,0xe000,0xccbd,0xf0,0xe9,0xcc,0xcb,0x2300,0x12,-30,9,36,35,-29,0,4,69,69,-98,0,-70,2,59,-70,-20,23,0,0,-19,1,40,-20,65,47,-16,1,-64,1,0xe5555e00,0,222,221,237,0,82,233,0,0x310e003,0x300ddcd,0x300ad23,0xdd0b03c2,0x37112ed0,0x9daa16e2,0xcdddbf03,242589426
1520,0x421,0x200f,0xfd,0xed,0x61,0x2f,0xb05,0x0,3,-16,7,-121,32,23,47,32,38,-12,65,59,16,37,-14,80,1,2,3,8,-60,63,63,121,-65,25,-13,32,31,0x231133c9,255,0,9,114,90,51,41,92,0x8210003f,0x702ff98,0x211e009f,0x1bb1e3ed,0xab00e99e,0xbabefebb,0xbe0ebb,3457071786
1521,0xcbbb,0xe00e,0x3f,0xee,0xee,0x62,0x1807,0xd7,64,95,-16,1,-16,31,-112,1,-28,38,115,-16,31,48,1,-52,-36,4,-21,-35,14,62,0,-18,6,-88,64,31,-54,0x192211b3,243,179,182,16,30,47,56,147,0x23337ff2,0x7cf06f,0xe75ad355,0xca51d6f6,0x294a31cc,0x965ca71f,0x1cec11d8,569554551
1522,0x15af,0xd4c,0xca,0x18,0x8c,0x1,0x4010,0xb,0,36,0,0,-48,1,51,51,0,3,60,0,20,0,-61,48,0,7,3,-64,28,48,51,0,51,51,51,-61,67,0x1033ccc,48,0,195,0,48,48,12,176,0x6408918,0xccc33c,0x3003b,0x3c90e020,0x1f104c10,0xcc3cc33c,0x1f00ea33,301998352
1523,0xe0,0xae03,0x0,0x3,0xbe,0x82,0x4640,0x43,-52,-52,-52,-61,0,10,4,4,0,0,67,0,14,0,20,-21,-18,0,-18,14,50,-86,-86,-22,-18,-18,47,-18,-85,0xee1f00,31,0,95,176,1,0,34,96,0x220000,0xcc3eab07,0xea6bbecc,0x3105600,0x326c0ab,0x3f507f10,0xb05b10d0,2668626938
1524,0xc323,0xbccc,0x86,0x1,0x4,0x33,0x3033,0x0,0,-27,-15,29,0,-97,0,-68,0,0,1,33,32,3,33,35,0,-82,0,-51,-10,0,-81,0,4,16,11,17,59,0xfe00c3,69,48,31,48,48,60,0,3,0x51200800,0x8300d700,0x6311036b,0x301d00,0x2510303c,0xc3061b00,0xcc33300,1955664161
1525,0xc030,0x81d1,0x60,0x1,0x90,0x3e,0x0,0xe9,26,-38,33,38,16,86,67,81,49,48,63,-18,0,3,50,-8,-32,-32,-16,1,65,123,81,127,-112,3,-50,0,0,0x10ddc030,66,160,3,68,4,0,78,0,0x22000412,0x55000044,0x416410f3,0xf08430d6,0x11233301,0x7f0300d4,0x55123b,302202922
1526,0x1061,0x2117,0x14,0x0,0xfb,0xa6,0x320,0xc3,0,16,3,51,1,4,1,101,3,-1,32,19,18,15,64,39,17,86,0,51,16,22,66,117,-15,26,-128,-16,1,0x1a2e9000,0,224,163,1,34,0,224,58,0xb00022,0x310804c,0x30333e43,0x233e04,0x3223e043,0xe321,0x28011140,934929
1527,0x5b44,0xe00,0xee,0xb5,0xba,0xee,0x65ab,0xa6,0,-50,-35,101,-42,-35,-86,-43,-35,32,-85,-86,112,72,-64,-35,-18,-36,-35,0,0,-36,-19,-18,-18,-83,-68,-38,0,0xbabcbaab,109,187,204,203,0,173,0,220,0xddce9dd,0xbe4090,0xdbcebb16,0xcebaab,0xb6dbaaba,0xd6ebbcca,0x9eccab00,166444523
1528,0x8ab,0xeba,0x0,0xba,0x1,0x45,0xacda,0xe,0,0,-68,-51,14,0,-52,-75,-20,-1,18,-93,1,74,82,-93,-16,1,-96,1,34,103,17,51,-126,115,-65,-112,3,0x51341130,36,34,123,16,15,66,147,16,0x2731e803,0x1902bf1,0xae4b02e9,0x900000a6,0xe000cb6e,0xb66a,0xeb66e9,4565582
1529,0x4e00,0xa433,0x3,0xe0,0x54,0xdd,0xe4,0x1e,81,-19,46,65,-43,-37,-22,0,85,-43,-37,-18,51,69,-67,17,0,67,69,-67,34,17,17,-44,52,0,-27,78,17,0xbbbddedd,52,0,211,203,187,51,189,186,0xaa00d3dc,0xabbdbaaa,0x8bdaaaa,0xcbaaaaaa,0xbb110700,0xcbba09ba,0xaf03cccc,33556974
1530,0x1c,0x9ed,0x3,0xcb,0x13,0xcf,0x380,0xe,-18,122,-98,-16,-114,-96,1,35,-57,0,3,-82,0,46,-66,13,14,0,-32,-53,0,3,16,10,-20,32,10,-1,-16,0xf03ff12f,3,147,191,81,39,240,3,81,0x8001f03f,0xa6443d93,0xa666ae00,0xaae03800,0xe4000d03,0xee341ec0,0xbe5799,402701845
1531,0x44e9,0x50eb,0x3,0x10,0xf,0x0,0x3d5e,0x11,-79,-69,-67,61,20,0,17,-37,-37,51,20,-43,-37,19,0,20,68,-67,45,33,68,-44,75,0,49,68,51,-67,36,0x54d33344,221,17,35,225,0,3,62,1,0xee14d5,0xe4323333,0xd4324009,0x33000e00,0xdd009ebd,0x1d10e82b,0x3402431,1040777918
1532,0x4000,0x332b,0x2e,0x43,0xc3,0xe0,0x2601,0x0,17,38,16,41,-1,0,10,-77,-53,-16,-51,-16,1,-15,51,-15,63,-16,3,-15,63,-11,-16,1,-16,1,-16,1,19,0xc6004ec0,69,1,46,128,4,113,94,68,0x455e9000,0x33e90000,0x223e9054,0x2300e943,0x33443222,0x1134bd33,0xd33333,876819207
1533,0x900,0x80,0x1,0x55,0x34,0x33,0x4443,0x55,69,0,68,68,-28,51,34,-85,-86,-22,0,9,-69,-86,-78,14,-67,-85,-85,0,-98,-67,-69,42,-21,-45,-85,-70,2,0xabbd55ea,186,34,0,16,34,63,210,187,0x130df83,0x1711c011,0x5d619512,0xf001f0ff,0x4027c701,0x13276103,0x20f3149e,1730608911
1534,0xf45,0x33f1,0x74,0xe8,0xf1,0x3f,0x1f0,0x41,36,-62,91,-128,96,3,62,35,51,68,62,34,50,0,67,35,51,51,-28,53,50,68,0,-98,93,68,-28,9,-35,0x2e555,205,204,237,0,213,0,3,228,0x123e9e00,0x23e9009e,0x2805f809,0x97426612,0x1204f10,0xbd2211,0xbd2111ba,3524333995
1535,0xbb20,0x12,0x8,0x23,0x11,0x11,0x3ebd,0x80,0,12,-23,18,17,34,-32,35,34,50,34,-22,1,48,4,-30,0,-85,1,48,-86,-126,2,96,-85,-21,9,0,-69,0x7bd7002,186,158,0,205,187,18,113,240,0xf92bf101,0x11015f25,0xf025e854,0x3c038c27,0x37bf1610,0x3f17c03b,0x13204411,1141973510
1536,0xeb34,0x4ed,0xff,0x41,0x33,0x25,0xb30f,0x0,19,16,23,50,16,32,-6,-16,1,16,29,112,120,-28,112,0,3,-34,3,-53,-35,4,0,-32,-36,-35,94,1,43,0xed50ddde,0,3,158,0,3,14,0,221,0xe15dc,0xdc0300cd,0x36dd0300,0x1f0c0ff,0x31317ea6,0x42323e00,0x54e90001,3197108308
1537,0x8f08,0xce38,0xbb,0x1,0x62,0x0,0x175f,0x5f,0,-23,-43,0,-68,-21,9,-75,-67,-53,14,-70,0,-51,-52,-98,-54,-35,-52,-20,-36,0,-21,-51,-20,-85,-21,-34,-19,0xeedb03cc,14,188,204,62,168,10,32,3,0xf800c05f,0x9e183c,0x16118e0,0x714d4825,0x272b2833,0x302003b,0x300c303,2429076
1538,0x130,0x332,0x42,0x7b,0x33,0x34,0x41ef,0x5e,87,127,98,115,51,25,-77,-31,47,9,1,16,81,3,51,51,-53,-52,60,50,103,-116,-111,45,3,-51,-52,0,-32,0xe305dddd,4,157,223,56,225,144,1,237,0x73194f43,0x21f11f10,0xf0dc0130,0x908fa11f,0x1301ff0,0xce33c702,0x33ecbb00,3469458398
1539,0xe9,0xbabb,0x3e,0xe0,0xbb,0xab,0xe0eb,0x7,-85,-86,-21,-32,-68,2,124,10,20,17,35,-73,16,-17,-52,10,116,16,63,3,17,60,16,6,87,-43,-93,0,32,0xc3e5003c,204,52,176,24,106,215,224,49,0xe065473b,0x9c,0x73bd5355,0x56756318,0x314d45f2,0x1e9e2f5f,0x210d1a1a,712458012
1540,0x1df3,0x1590,0xca,0x18,0x19,0xf,0x4010,0xb,0,36,0,0,-48,1,-1,-1,0,3,-13,0,20,0,63,-16,0,7,15,-64,28,-16,-1,0,-1,-1,-1,63,-65,0x10ff333,240,0,63,0,240,240,3,64,0xf0e00017,0xffdeeeff,0xab00be3f,0xb34effff,0x4ef33f,0x4e0000b3,0x34e00f43,470827840
1541,0xeeee,0xeeee,0xdd,0xdd,0x2,0xcc,0x5aec,0x55,68,-28,64,3,46,19,90,85,-28,0,3,62,46,-64,95,16,42,0,-82,107,49,-20,-82,-78,54,-20,4,-82,34,0xa0aee3cb,25,222,221,0,221,186,187,187,0x3224babb,0x234a4303,0x344332,0x541e5003,0xeb03000e,0xe40300,0x1b33e49f,283390771
1542,0xf00b,0xfdc,0x10,0xbf,0x0,0x1e,0x3368,0xf0,26,16,-6,15,0,-3,-1,47,63,33,51,-77,1,4,-1,-1,-16,0,0,-27,-105,-15,29,0,51,0,3,0,1,0x21032021,35,110,63,16,7,0,3,191,0xb100400,0x403f3b11,0x2d010f,0xf0f0f0ff,0x300d4f3,0xe00800,0x42014e51,4278255438
1543,0x44ef,0x0,0xef,0x44,0xff,0x0,0xe000,0x44,-17,78,68,67,78,0,68,68,68,68,51,51,68,52,12,51,51,67,67,0,3,64,7,-44,52,16,-77,-86,-70,0x5a5e2301,85,78,80,21,0,7,226,0,0x55ab2203,0xa43300be,0xbd3b5555,0x550433b5,0x22222b5b,0x31352311,0x5eae4500,1403973170
1544,0x32,0xbae5,0x53,0x32,0xa5,0x4b,0x3253,0x0,-83,68,85,85,-70,68,34,-46,34,77,68,17,35,52,50,51,16,95,51,-128,0,87,51,51,35,34,51,51,34,0x20322235,3,0,11,228,1,56,68,1,0x44440528,0x43000e,0x3003408,0xc004363,0x430e3100,0xf1140043,0x53e1f625,719453232
1545,0x2f31,0x122f,0x34,0x0,0x3,0xfb,0x12fd,0x55,0,42,64,3,18,97,16,23,33,102,-1,1,51,-94,16,3,63,0,16,15,-1,3,17,-91,0,96,15,32,19,0x444e6f02,240,238,68,0,180,224,187,68,0xaad9e0ab,0xbbe0da00,0xeeefaddd,0x2ea50aa,0x78100e10,0x9dddaab4,0xaaddaa00,3718962523
1546,0xbe,0xddaa,0xe5,0x35,0xdd,0x55,0x35e5,0x40,94,48,3,-91,78,84,-27,-75,-75,0,34,34,-94,43,34,-86,42,-86,24,-86,17,-86,16,-2,0,1,67,-86,-86,0x25aaa28,70,187,1,117,180,34,211,0,0xe432baaa,0xd443adde,0x44daaa00,0x44adddd4,0xddcc00b4,0x555cbb44,0x5525cbb5,889585717
1547,0x3b,0xba30,0x0,0x4,0x0,0xad,0x33ba,0x33,-54,-84,59,67,0,-83,-54,-70,68,-43,-83,-84,-69,0,84,-43,-54,26,68,84,-83,-52,-90,1,39,-28,1,47,68,0x30034,7,196,0,68,68,204,188,203,0x1dbbbcc,0xbdddbbba,0x12bbdddc,0x9b228292,0xe9e4,0xbb0d00cc,0xdd0700af,15599376
1548,0xf1c1,0xf02e,0x1,0x22,0x67,0xec,0x3311,0x82,115,-112,3,-16,17,52,1,47,-23,-18,0,0,-23,-114,-120,14,62,83,-27,0,-98,-23,53,51,-29,-32,88,85,7,0xe888e03e,224,19,155,0,61,16,3,80,0x23060025,0xee330300,0x5300e9ee,0x35ee3333,0x33eeee,0x5e444435,0x5eee5545,3810679552
1549,0x335e,0x3322,0x5e,0x40,0x33,0x0,0x440b,0x43,84,-18,68,51,0,75,-18,85,51,83,85,69,35,18,34,34,-76,2,55,-76,69,0,-33,84,0,85,85,85,84,0x25422222,160,0,3,53,50,175,68,203,0x345555,0x4455555c,0x54542aa5,0x54222508,0x44030045,0x54503335,0x552f00,860196399
1550,0xe4,0x1add,0xe5,0xe,0xde,0xdd,0xe5,0x0,-32,85,-28,14,-112,94,67,-98,0,0,62,51,-29,-23,94,59,67,0,94,35,-69,67,62,18,-70,-69,0,-18,14,0xedddd,85,85,64,158,2,131,229,0,0xe43222,0xe4344402,0x521100,0xe57e2103,0x1f00ff1,0x3fe101f0,0x36003f0,5833966
1551,0x5000,0x54,0x3,0x42,0x0,0x2c,0x4000,0x10,7,52,48,3,16,11,64,82,-125,16,32,53,0,0,-112,62,0,8,1,-71,-88,32,1,-112,64,11,-114,0,10,0x35238e,35,82,52,229,238,35,78,228,0xe9555500,0x5eee85de,0x85e800dd,0x8e5e8dd5,0x5e008dd8,0xe5e8dd88,0x8555588,572671027
1552,0x3801,0x2235,0x22,0x4,0x4e,0x54,0x3555,0x5d,1,70,-35,93,1,85,-123,-115,-35,-35,-35,-40,0,2,0,-44,-24,-114,69,85,-24,-114,93,-96,0,34,-43,1,107,0x33355552,35,0,120,93,85,85,119,77,0x87007e44,0x448d444d,0x82122e44,0x4455a301,0x10222e53,0x4300521b,0x34535455,15016771
1553,0x5423,0xc733,0x3e,0x24,0x55,0x11,0x2200,0xe3,0,37,50,-29,0,82,0,51,-98,0,34,-27,9,0,18,0,-29,0,0,49,85,-18,9,83,22,17,33,-30,0,0x10f16c2e,0,187,233,0,238,30,238,126,0x66662dd7,0xb0d76620,0xee0eee19,0xe04111e,0x9e122111,0x4de15904,0x5445451a,57684977
1554,0x1005,0x4007,0xa9,0x41,0x37,0x0,0x310,0x45,0,3,36,4,48,3,74,69,0,3,79,5,0,84,-43,1,42,-35,-128,1,42,-40,0,-32,-123,-35,0,-23,40,0xe00dd8d,141,16,3,144,142,221,112,232,0x2a012301,0xd8e40310,0x82eee8,0xdd8e4410,0x30034ee,0xdd8e1033,0xd80b00e9,8183005
1555,0xcdd8,0x7ccd,0x88,0xdd,0x7c,0x7c,0x7d00,0xcd,103,-122,-115,119,-122,-52,3,-35,119,-52,-52,-35,-57,48,3,1,35,0,-44,119,77,52,-44,120,77,52,4,-45,124,0x43334d,3,51,124,4,78,51,50,124,0x340310ee,0xecc70053,0xccc74423,0x780024ed,0x7deecccc,0x81dccccc,0x8dcc0300,3581725895
1556,0x3b00,0xd300,0x78,0xcc,0x7c,0x54,0xee55,0x88,0,-28,-18,-112,-114,-34,-24,9,-103,0,-36,-40,14,0,-51,-40,-98,0,0,-115,-40,-19,0,119,-35,-19,9,0,-41,0x780e8ddc,102,102,182,0,136,136,136,103,0xd8888889,0xd88ee900,0x2ee9003d,0xd300e032,0xf22b716,0x12212211,0x1221001c,573783330
1557,0x5321,0x3a0,0x14,0x33,0x0,0x4,0x3332,0x52,85,46,0,50,-30,-16,-23,46,-30,0,-31,64,-2,0,35,-30,0,0,18,33,-18,5,0,51,17,33,14,0,33,0x75c906e3,158,55,101,20,193,17,35,79,0x25f0f06,0x535f2a6c,0x550405,0xd7034003,0x4b168040,0xe8ddd8e0,0x418dd8e0,235077790
1558,0xd8e0,0x9e8,0x0,0x3,0x0,0x50,0xd855,0xe8,85,82,-120,62,0,-109,-28,-120,94,-23,-32,69,-114,0,-40,-112,84,-114,-120,80,-18,-40,0,-120,85,-18,-40,-40,69,0xdd00d8ee,233,229,136,221,78,228,136,4,0xc7e444dd,0x882311d8,0xc7cc00c7,0x77766778,0x7733667d,0x10ff00c7,0x77cc03,458775
1559,0x7c76,0x3e0e,0x55,0x7c,0xe,0x4e,0x82,0x3,-18,84,124,14,-32,0,3,-112,0,78,124,14,0,89,119,14,0,74,-32,0,7,-32,51,0,36,35,1,48,35,0xccc7d208,51,1,48,53,67,125,0,204,0xc78d4444,0xd45555,0xd55345c7,0x8ddd7d78,0xdcdc0e00,0xd7cc9e87,0xcced10d7,1996685437
1560,0x8dcd,0x1ecc,0xdc,0xd7,0x8d,0x1,0x6a,0x3,1,-25,-126,94,9,-9,69,11,-112,3,2,115,70,56,48,1,17,84,-24,38,24,-99,39,-116,15,-13,16,22,6,0x30260622,0,3,251,38,56,32,19,6,0x37441122,0x2f01ff7f,0x45b00b15,0x1300bf0f,0xfff21710,0x904dee00,0xb4e07307,2617377536
1561,0x2e0,0x2ca4,0xe0,0x44,0x6,0xb1,0x10ee,0x39,16,120,68,-29,0,119,119,52,-29,-18,-114,-85,90,0,-28,-23,-43,69,-98,0,51,-28,10,9,0,-18,-98,112,-77,0x772f01dd,0,119,124,124,238,238,120,119,0xee903f00,0x2741b2e5,0x91060710,0x10056cf3,0x225e7d00,0x233e8d22,0x3ed40253,1322464563
1562,0x7905,0xe0,0x53,0x33,0x22,0xe0,0x2355,0x22,-32,25,84,19,33,1,39,1,-98,-36,-24,2,-110,0,-24,120,-52,-121,-98,125,124,-24,0,9,-115,-121,-98,0,-46,0x709ed,34,90,249,15,16,82,17,55,0x1deae40,0xf3f80004,0xe0009e18,0x25016118,0x4b12dc0f,0x12f02907,0x3b274e,1695485698
1563,0x3f,0x1003,0x25,0x0,0xf0,0x1,0xf32,0x43,-77,127,-1,7,-121,33,94,87,127,56,-81,16,20,9,19,33,80,-31,-73,-36,9,4,41,12,59,51,-13,-14,1,0x3440ff8f,224,1,23,88,25,91,248,5,0x19f01fb0,0x90801ff0,0x254e9001,0x53e90011,0xe333c400,0x9fff3334,0xa300e04e,2339760134
1564,0xa100,0xe4d,0xff,0x0,0xdc,0x43,0xff0e,0x33,67,-2,63,9,51,-28,-7,-1,1,-69,-16,-18,65,48,-29,32,-65,0,-2,16,-17,51,-13,63,1,53,2,79,-22,0x6103c11,64,31,48,0,32,243,0,229,0xfb333e3f,0xf06a18b0,0x65473b31,0xb7e0,0x77de5355,0x5ab5677a,0x318c3e2f,505163583
1565,0x1575,0x210d,0xb9,0x3e,0x34,0x2a,0x19d0,0x6d,17,-54,24,-116,1,16,64,11,0,36,0,0,-48,1,51,51,0,3,-52,0,56,0,-61,0,11,16,3,-128,1,0x3330,50,51,51,51,51,203,204,60,0x33250083,0x3003003,0x3d201ea0,0xcc333307,0x3f00cccc,0x5d3001f0,0xec1f20ac,1088424448
1566,0x3003,0x9001,0xee,0x0,0xee,0xe0,0xccee,0xec,-50,-52,76,0,-28,-54,68,68,-28,-70,-35,68,4,-28,-85,-86,-35,-19,-16,63,-109,94,0,-52,-100,-18,35,0,-23,0xee084324,77,17,49,80,23,238,238,238,0xccce0900,0x3335eecc,0x52bc00c3,0x23c33333,0xdd04c335,0xbbd35234,0x9037780,859570184
1567,0x9e,0xeb08,0x3c,0xc3,0x27,0x3c,0xeb,0xe5,-19,9,32,-78,96,1,16,-52,-128,16,-97,-61,-52,52,60,60,0,3,26,48,-64,3,-96,-34,97,29,-61,0,3,0x213c6c03,14,0,17,50,17,47,0,40,0x2f03b3,0x30190030,0x3103301,0x22112520,0x500500fa,0xf001f05c,0xe901f001,2151547392
1568,0x200,0x9033,0x3e,0x22,0x11,0xe0,0x23,0x11,33,-23,18,33,42,62,18,0,-94,34,46,18,35,34,-78,-85,0,-86,-86,18,-79,-69,-69,35,33,20,34,35,34,0x330310,3,58,51,0,35,162,51,67,0x33333a23,0x2daa3400,0xedab2211,0xabee0022,0xab2eee4d,0xa200223d,0x5a235dab,72735403
1569,0xb255,0x34da,0x22,0x10,0x3,0x43,0x15e3,0xd4,-37,66,0,3,90,0,3,53,0,3,0,52,92,-43,-37,85,53,83,-67,0,33,58,83,-67,34,58,84,-67,0,0x3009eed3,211,196,238,57,0,211,51,196,0x3333439e,0x3b4300ec,0xb44dc333,0x4d004333,0xdd333b44,0x1033344d,0x10030303,50381571
1570,0x233,0x900,0x3,0x33,0x33,0x3e,0xe700,0x9e,64,48,0,40,57,0,0,-28,14,0,115,51,33,35,1,43,17,4,51,52,48,11,33,59,-3,32,19,17,20,0x3f02f61,210,127,240,1,176,18,57,0,0xe0070000,0xe9077000,0xbe0300a0,0xa780320,0x788be9,0x7889000,0xa22e0000,773989120
1571,0x2232,0xbba2,0x32,0x0,0x22,0x32,0x3bab,0x22,50,-86,-70,0,43,50,-85,-86,-54,-52,-66,-86,2,-86,-69,-23,-66,-86,-69,1,-18,-35,-126,0,3,-83,51,51,-45,0xad0370aa,2,186,204,204,173,186,187,0,0xda00dd03,0xddba3345,0x4aa2ddd,0xbbdbaaaa,0xbb3d00aa,0x22aa00ab,0x22aab222,2868912401
1572,0x1222,0xb211,0x33,0x44,0x43,0x0,0x11dd,0x21,50,-67,34,17,34,0,-67,61,51,-45,-69,-37,-35,-67,96,-53,0,38,16,3,52,-69,-68,76,51,64,-69,1,44,0x43444dbb,203,219,0,68,195,204,219,221,0x8dbc3cc,0xbc33ccde,0x33550320,0x445e08bc,0xf033ecd,0x8003330e,0xec000300,3959438345
1573,0x0,0x33c,0xe5,0x9,0xc0,0x33,0xe44,0x2e,0,0,0,3,48,1,82,1,51,64,3,51,6,60,0,-64,51,48,2,-125,2,85,60,-16,3,124,16,19,-15,0x8b3fd133,0,0,112,8,136,0,0,119,0xb7770a00,0x7b002d00,0x10b00800,0x3b110c,0x321800,0x50810b,0x1770020,1980262199
1574,0x0,0x6b,0x3,0x0,0xe9,0xbd,0xbb01,0x0,-32,-44,-35,0,78,0,-120,16,78,-93,34,32,3,-23,51,42,0,0,-32,52,85,0,-112,94,35,-69,16,-36,-86,0xdd03102b,221,221,44,0,83,68,68,53,0x55444532,0x35030080,0x45444555,0x4401e332,0x211222f5,0x98022221,0x2a0310a8,3343104
1575,0x3509,0x22a3,0x0,0x22,0x53,0x33,0x222a,0x5f,51,35,-126,0,13,68,51,34,18,52,64,3,51,-46,0,30,0,7,34,16,7,51,67,0,27,68,0,51,-60,0xe43344ee,233,85,0,51,228,78,51,67,0x55ee9e,0x3445ee44,0x3334eee4,0x35544400,0x53322433,0x1336533,0x30030027,3808624709
1576,0xae00,0x4500,0xe,0xee,0xee,0x53,0x33ee,0x33,52,83,51,16,7,17,50,3,35,-77,0,51,1,-29,-98,-32,-18,-114,-25,62,0,7,7,-29,-18,14,0,14,18,0xf103107f,51,224,80,3,51,119,210,113,0xe90eee90,0xe34300ee,0x4443223e,0x321e2332,0x51117044,0x5d214001,0xe75700,2382423332
1577,0x5213,0x73ee,0x2,0x37,0x31,0x24,0x3784,0x42,2,-15,53,0,83,0,-32,68,69,0,-32,94,0,82,0,0,62,33,-23,-18,85,56,19,46,1,2,0,-30,0,0x554555a2,0,229,222,221,35,226,174,170,0x55330034,0x34554544,0x34003225,0x45333543,0x555e32,0x44a5e342,0xfdb3ce32,1143158016
1578,0x444d,0x2244,0x24,0x0,0x22,0x22,0x3232,0x33,83,85,85,0,85,53,42,-3,53,51,42,-3,14,95,51,34,-38,0,3,0,26,1,67,83,1,85,83,85,53,0x1422543,51,161,16,3,50,80,7,67,0x553243,0x4e9e001a,0xe9e44ee4,0xe3004e9e,0x434e009e,0xce00ee,0xce09e433,3725517619
1579,0x3407,0x9e43,0xe4,0x9,0x3,0xaf,0x57f3,0x70,1,-16,81,39,-16,3,48,3,4,-105,-23,62,34,18,-45,4,-102,0,-37,-18,0,-17,-23,-18,53,24,1,117,-128,0x32220f05,18,51,17,17,49,0,85,51,0x33453343,0x45003334,0xe4334eee,0x40eeee93,0x530e550e,0xe3eee348,0xe40345,10415774
1580,0xca01,0x1e0,0xa,0xee,0x9,0xe9,0x4e,0x5,-21,1,59,-77,1,0,0,-66,35,0,0,-82,5,-45,48,-23,-86,17,-120,17,-115,66,-18,50,-61,0,-18,-53,50,0x322cbbc3,195,194,1,34,0,3,51,171,0xa90322bb,0x55aa03bb,0x2355aa5e,0x3302311,0xda223b00,0xda22bb5d,0x2bab0053,3131790133
1581,0x3323,0xbe02,0xaa,0x21,0xe3,0xe9,0x1ab,0x27,-28,21,34,66,67,0,3,52,0,3,68,16,7,64,-20,0,7,-20,43,66,-60,-21,-70,0,-53,-69,-21,-44,-53,0x44ee33,189,52,236,52,211,203,235,35,0xedbd3200,0x9ed22233,0x32230024,0x432224ee,0x431f35ee,0x3e019e54,0x310b720,1072761616
1582,0xf0ce,0xa003,0x3,0x33,0xc3,0x3,0x2c8,0x6f,19,-24,3,57,51,12,54,54,0,15,32,3,51,48,81,39,-1,0,25,117,38,0,34,17,98,4,-73,-16,111,0x1f001f0,128,130,205,224,85,35,17,224,0x11001122,0x2232223e,0x22323e,0x34234e33,0x443cde32,0xccce3300,0xcbbedddc,854393052
1583,0x90e3,0x32be,0x9e,0x0,0x3,0xe9,0xee2,0x0,-112,-29,66,43,-112,-17,0,-86,-70,-69,-18,-85,-70,-21,-23,0,-66,-70,-98,-32,-23,-18,9,94,-64,0,18,-112,3,0xddd555e9,9,213,12,221,236,0,213,7,0x90700f2,0xdccd0155,0xcdddd59e,0x3d2f04ec,0x400d5cd,0x573092f0,0x10ec6710,871496456
1584,0x340,0x1901,0x10,0x7,0x22,0x6b,0xc3,0xc,1,71,-65,33,28,67,17,25,81,40,6,-107,33,41,6,-111,0,10,-32,37,78,0,38,0,3,60,48,48,48,0x300e533,151,251,39,255,195,12,1,87,0xb94100c3,0x20008e01,0x4a7581f,0xce900f,0xbc400a,0x9000bb0a,0x30bbbe,3451628515
1585,0xddbc,0xcbee,0x0,0xcc,0xdc,0x9e,0xcbbc,0xdd,14,-52,0,-36,-36,14,-69,-52,-51,14,-69,111,-53,0,7,16,3,-54,8,97,-16,-34,-31,-125,-16,18,-126,-126,-1,0x90dddcdd,222,5,131,233,7,221,204,0,0x2f01de90,0x1f805f03,0x8801cb6b,0xdc0310,0x300dd03,0x20de1c30,0x30411d6,794950944
1586,0xb05,0x300,0x30,0x7f,0x3b,0x42,0x33f,0x4d,55,-124,17,59,16,37,-14,80,1,2,71,12,8,-60,-61,-61,67,25,-13,32,31,-55,51,-127,17,35,51,0,-61,0x10ccc33c,31,224,1,58,1,88,112,71,0x22bce033,0xcde00433,0x6933ccc,0x30e933f3,0xb73303ee,0xcbaa0160,0xcc41009e,3989617664
1587,0xccc9,0x9ee,0x9c,0xff,0xf4,0x8b,0x130,0x1a,83,64,127,-16,1,-16,31,-16,31,112,31,-21,-54,-77,17,34,25,-13,-68,16,30,35,56,-109,-13,-65,96,-52,35,0x57f06f,85,83,156,111,24,99,51,78,0x314d3db0,0x22ff3b7d,0x210d1a1a,0x2e7642da,0x158e1e12,0xf3918ca,0xb4010,3489660964
